,Playlist Name,Description,Tracks,Followers,URL
335,A Monty Python Emporium,Silly-walk your way through the entire Monty Python catalogue.,436,13976,https://open.spotify.com/playlist/37i9dQZF1DXb85CZUwGLzX
336,Music Jokes,"Comedians ponder all things music, including their favorite celebrities and pop culture icons. [Warning: Explicit Content]",71,4833,https://open.spotify.com/playlist/37i9dQZF1DXdWZwKY7xcB3
337,Power Ballads,You know you love them.... Get ready to sing like no one is listening to scores of timeless pop and rock power ballads.,79,2190,https://open.spotify.com/playlist/44XJR1i3Vl2B3acOEYwinE
338,Sad Indie,The premier alternative melancholia playlist.,99,987876,https://open.spotify.com/playlist/37i9dQZF1DWVV27DiNWxkR
339,Energy + Positivity,"Honor your body, fuel your mind. Love Life. Live Yoga.",22,8599,https://open.spotify.com/playlist/2YeGkAUQhmO8TCjSMbFYWf
340,Desi Hits,Desi hits from South Asia. Cover: Yohani,69,436517,https://open.spotify.com/playlist/37i9dQZF1DWTwzVdyRpXm1
341,Namaste,Take some time out of your day to recharge your mind.,93,2366,https://open.spotify.com/playlist/0op6xwVK9pVhcxozSQPEsJ
342,Rustic Romance Wedding,A charming musical touch to the most significant moment in your life.,63,994,https://open.spotify.com/playlist/2Ph68VcwRfqRdnrKhY3oPS
343,Word of Mouth,Explore the evolution of eternal folk songs through some of their essential adaptations - from field recordings to recent releases. Follow for new additions and song cycles!,58,51,https://open.spotify.com/playlist/2VxQy0Q22k1gP542tzaMCN
344,Folksy Covers,Folksy takes on your favorite tracks. Cover: Waxahatchee,115,457948,https://open.spotify.com/playlist/37i9dQZF1DXcDxnC0UqHJa
345,Indie Strings,Songs with some serious violin and cello action.,39,415,https://open.spotify.com/playlist/0sDO43KAaJUWIYassTKWYf
346,Vinyasa Flow,"Focus your gaze and get into the dynamic flow of this engaging, eclectic mix.",20,1485,https://open.spotify.com/playlist/2B64RN7KJte5x6iXgg02tv
347,Acoustic Commute,"Turn your commute into a perfect, peaceful drive...",57,2711,https://open.spotify.com/playlist/3OUguxmuL5x24sMAw4qPku
348,Folk Pop,The best of folk-infused pop and singer-songwriter. Cover: Trousdale,100,756014,https://open.spotify.com/playlist/37i9dQZF1DWXJyjYpHunCf
349,Femme Fatale,"A collection of powerful voices and dark, alluring siren songs. Cover: Ashley Monroe",70,580088,https://open.spotify.com/playlist/37i9dQZF1DX0IyMQV27EGn
350,Chill + Atmospheric,Float away on heady orchestrations and haunting harmonies...,100,802038,https://open.spotify.com/playlist/37i9dQZF1DX79Y9Kr2M2tM
351,Indie Folk for Focus,"Zone in (or out) with ethereal, meditative instrumental indie folk and acoustic tracks.",115,688657,https://open.spotify.com/playlist/37i9dQZF1DWU6Vfrf87eTG
352,Summertime Vibes,"Salt in the air... Sand in my hair... Rooftop sunsets... Celebrate a perfect summer day with hours of coastal acoustic, live versions, and chill hits. | Image: <a href=""spotify:artist:24Bq9F6DJfzTaqgmoxT5vm"">Corey Harper</a>",157,4432,https://open.spotify.com/playlist/5v2J2noHVxPWgSrOw6lZsp
353,Classic Covers,All the classic songs you love-covered. Cover: Sam Smith,120,608456,https://open.spotify.com/playlist/37i9dQZF1DWTVIaV4KJYuq
354,More Banjo!,This playlist is perfect for when you've got a fever... and the only prescription is more banjo!,37,335,https://open.spotify.com/playlist/1W2XJETQjFYdzT4GuhBHmS
355,Stomp & Holler,"Driving rhythms, intricate instrumentation, and full harmonies. Cover: Mumford & Sons",71,269842,https://open.spotify.com/playlist/37i9dQZF1DX8gLrc0tlHvS
356,Soft + Slow,Sweet gems to help you slow down and savor your day.,150,318552,https://open.spotify.com/playlist/37i9dQZF1DX0611i4oGheJ
357,50 Irish Folk Songs,Remembering Paddy Moloney (1938-2021),50,137581,https://open.spotify.com/playlist/37i9dQZF1DX7Y2xcY13mN1
358,Bluegrass Covers,"A mix of folk and bluegrass covers of pop, rock, hip-hop, folk, and indie songs. Cover: Molly Tuttle",99,205017,https://open.spotify.com/playlist/37i9dQZF1DX56crgoe4TG3
359,Bluegrass Origins,"Travel back to the start, tracing the roots of what would become bluegrass through to some of it's early hits and gems.",53,57399,https://open.spotify.com/playlist/37i9dQZF1DX0RwLEp3x6W4
360,Chill as Folk,Your go-to collection for just hanging out and doing nothing... or whatever.,56,592,https://open.spotify.com/playlist/43rSnXFDoctqiZxvEqH14P
361,Boho + Chill,"Free-spirited, atmospheric vibes.",163,570840,https://open.spotify.com/playlist/37i9dQZF1DWSNmwgf7Nv11
362,Vintage Vibes,Old makes new. Cover: Charley Crockett,100,210382,https://open.spotify.com/playlist/37i9dQZF1DX6dvuioZhoLo
363,Indie Bluegrass,"Fresh takes on that high lonesome sound. Cover: <a href=""spotify:artist:4LX0KCPnH7gvxEbVXqXmAE"">Molly Tuttle</a>",84,228784,https://open.spotify.com/playlist/37i9dQZF1DX0yL7UvjSKZT
364,Fresh Folk,"Hear what's new in folk, roots & indie singer-songwriter. Cover: Penny & Sparrow",151,690224,https://open.spotify.com/playlist/37i9dQZF1DXaUDcU6KDCj4
365,The New Bohemian,"Free-spirited, eclectic, and decadent lyrics mix with folksy, indie, and slightly psychedelic acoustics. This is The New Bohemian.",81,133,https://open.spotify.com/playlist/1IKDP8o4UvpfLh0SJX2e1b
366,Irish Folk,Relive last night's fun with jigs and reels out of Ireland - alongside trad tracks inspired and influenced by Celtic traditions.,86,283776,https://open.spotify.com/playlist/37i9dQZF1DX9HwI3Crikcm
367,Blues Roots,"You've come to the crossroads of soul, folk, and the blues. Cover: Cedric Burnside",106,396047,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2
368,SongCraft,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart 窶 only on Spotify!",52,297,https://open.spotify.com/playlist/37i9dQZF1DX4cukhkYKVZW
369,Sweetgrass,"Sweet and slow, soft and soothing... a collection of beautiful bluegrass vocals.",29,215,https://open.spotify.com/playlist/44Ht3IACEyKqiLBZupIhIk
370,the new retro,"Make it new. Fresh takes on vintage soul, folk, blues, and roots rock. Cover: Pokey LaFarge",90,298062,https://open.spotify.com/playlist/37i9dQZF1DWV5vqkTng2MA
